id,category_id,views,likes,dislikes,comment_count
910,17,20292,10,102,17
911,26,340649,26383,557,2167
912,23,1443934,163475,709,9111
913,25,38528,283,218,0
914,25,161057,686,338,541
915,22,71415,4483,39,420
916,24,293758,20134,193,918
917,1,596888,29736,523,1768
918,10,7544,1049,14,128
919,15,39363,1955,31,367
920,24,981376,22491,1233,2931
921,24,1975,4,0,0
922,10,68611,1899,74,82
923,24,111222,6724,96,855
924,22,2468267,94303,7802,21866
925,24,606481,13385,512,633
926,2,362775,6411,499,1750
927,28,961935,21757,2651,3084
928,26,25796,2842,84,502
929,28,169411,7443,101,973
930,24,5661444,145774,11064,19365
931,17,131762,150,23,79
932,27,728698,13623,2096,7015
933,10,34784,1863,21,126
934,17,187106,11363,39,489
935,28,1387,15,1,1
936,10,3903013,219847,4307,13620
937,27,368865,11889,127,705
938,17,139806,2007,70,303
939,1,68585,4630,91,932
940,24,11807,5,0,0
941,27,252084,12712,240,634
942,24,518064,10394,765,2465
