,category_id,views,likes,dislikes,comment_count,publish_time
335,26,515525,24115,1249,1860,2017-11-11T02:42:23.000Z
336,10,39082222,1721383,23137,90352,2017-11-09T11:04:14.000Z
337,28,1080230,2540,887,1040,2017-11-10T07:28:14.000Z
338,10,873362,36365,594,2630,2017-11-11T15:11:18.000Z
339,26,366892,9052,2993,3088,2017-11-10T20:40:44.000Z
340,22,48372,382,11,29,2017-11-10T17:57:59.000Z
341,22,216766,7108,95,319,2017-11-11T00:30:16.000Z
342,24,81086,3085,150,250,2017-11-10T23:00:01.000Z
343,28,3931,17,0,2,2017-11-13T08:38:48.000Z
344,24,1072970,102199,1469,8943,2017-11-10T17:00:51.000Z
345,1,56372,2332,191,261,2017-11-11T03:56:10.000Z
346,27,69786,453,26,19,2017-11-12T02:39:01.000Z
347,10,204298,9321,386,993,2017-11-10T15:43:00.000Z
348,24,101233,3128,51,93,2017-11-10T17:01:04.000Z
349,10,1126501,48219,444,1083,2017-11-10T14:40:32.000Z
350,24,2498463,75023,1925,3483,2017-11-10T02:32:15.000Z
351,10,224608,14843,180,1004,2017-11-10T18:03:54.000Z
352,15,45965,2284,35,17,2017-11-12T00:18:43.000Z
353,15,317304,17023,84,939,2017-11-10T18:02:04.000Z
354,1,1996082,18992,1049,1322,2017-11-09T17:11:32.000Z
355,24,44939,1576,110,1021,2017-11-11T17:55:27.000Z
356,26,118316,3823,294,404,2017-11-11T05:23:36.000Z
357,26,2244971,101831,12677,11863,2017-11-09T18:36:48.000Z
358,1,2844271,60500,3667,8122,2017-11-09T17:14:11.000Z
359,26,99019,2404,40,135,2017-11-10T16:01:04.000Z
360,23,3591699,212004,3528,20418,2017-11-09T22:21:13.000Z
361,10,1137392,26180,992,1055,2017-11-09T22:26:10.000Z
362,10,147193,5405,151,395,2017-11-10T05:00:01.000Z
363,10,482334,55001,184,3027,2017-11-10T17:00:05.000Z
364,26,269509,10801,158,653,2017-11-10T18:42:55.000Z
365,23,3741812,314872,2647,12114,2017-11-10T03:43:43.000Z
366,22,1185773,45513,1378,4794,2017-11-09T11:24:14.000Z
367,10,178313,9072,98,656,2017-11-10T05:00:06.000Z
368,10,2185367,96850,1130,8216,2017-11-09T05:00:05.000Z
369,1,366814,4099,172,449,2017-11-09T22:00:07.000Z
370,10,797436,29425,585,1497,2017-11-09T17:03:42.000Z
371,28,1646057,53901,1566,5963,2017-11-09T21:18:33.000Z
372,24,271685,3330,854,0,2017-11-09T08:01:40.000Z
373,17,3505996,5934,3400,5162,2017-11-08T17:29:15.000Z
374,22,194946,9278,137,2803,2017-11-09T23:27:18.000Z
375,22,392482,5659,2432,1311,2017-11-09T07:00:01.000Z
376,10,1882868,88072,1219,6083,2017-11-09T15:45:05.000Z
377,10,226317,11702,125,471,2017-11-10T13:24:10.000Z
378,26,232083,14766,408,1107,2017-11-10T01:30:00.000Z
379,25,144694,1012,588,288,2017-11-10T13:00:02.000Z
380,24,908489,12261,339,1600,2017-11-09T08:35:00.000Z
381,10,180606,2400,159,239,2017-11-10T08:00:01.000Z
382,22,308352,15765,399,984,2017-11-10T00:24:29.000Z
383,24,193832,1351,25,128,2015-05-21T07:55:00.000Z
384,10,41251,1561,29,96,2017-11-09T22:27:45.000Z
385,10,524911,7822,185,403,2017-11-09T00:44:51.000Z
386,15,467804,19962,268,953,2017-11-09T13:34:58.000Z
387,26,77302,3756,123,222,2017-11-10T22:22:04.000Z
388,10,304700,12347,577,756,2017-11-10T08:00:01.000Z
389,10,1440724,36686,6598,9637,2017-11-08T17:00:00.000Z
390,24,878560,12961,1468,1788,2017-11-08T05:01:25.000Z
391,24,155533,4621,233,451,2017-11-09T11:30:00.000Z
392,20,161231,7803,169,1479,2017-11-09T19:59:48.000Z
393,24,379918,4472,4507,2066,2017-11-09T02:37:49.000Z
394,25,90454,211,65,59,2017-11-10T08:00:03.000Z
395,10,157037,7800,96,326,2017-11-10T08:00:03.000Z
396,10,895507,38734,550,1270,2017-11-09T09:00:00.000Z
